country,year,electricity_and_heat_co2_emissions,electricity_and_heat_co2_emissions_per_capita,energy_co2_emissions,energy_co2_emissions_per_capita,total_co2_emissions_excluding_lucf,total_co2_emissions_excluding_lucf_per_capita
Lithuania,1994,7.27,1.9281462,14.44,3.8297703,14.82,3.930554
Lithuania,1995,6.41,1.710579,13.44,3.586612,13.75,3.669339
Lithuania,1996,7.11,1.9102515,13.92,3.7399015,14.24,3.8258765
Lithuania,1997,6.65,1.7997795,13.56,3.6699264,13.92,3.767358
Lithuania,1998,7.49,2.0433695,14.29,3.8984983,14.71,4.0130796
Lithuania,1999,6.05,1.6648555,11.9,3.2746744,12.25,3.3709884
Lithuania,2000,5.07,1.4084746,10.22,2.8391736,10.52,2.9225154
Lithuania,2001,5.53,1.5533075,10.87,3.0532465,11.16,3.1347039
Lithuania,2002,5.33,1.5160139,10.93,3.108824,11.22,3.1913087
Lithuania,2003,5.24,1.5102245,10.94,3.1530259,11.23,3.2366068
